Episodic return,Average return,Episode
16.0,16,0
13.0,14,1
33.0,20,2
17.0,19,3
51.0,26,4
15.0,24,5
12.0,22,6
49.0,25,7
28.0,26,8
19.0,25,9
19.0,24,10
18.0,24,11
21.0,23,12
23.0,23,13
26.0,24,14
56.0,26,15
22.0,25,16
27.0,25,17
17.0,25,18
32.0,25,19
51.0,26,20
46.0,27,21
22.0,27,22
37.0,27,23
18.0,27,24
14.0,27,25
23.0,26,26
39.0,27,27
38.0,27,28
61.0,28,29
60.0,29,30
16.0,29,31
18.0,29,32
52.0,29,33
55.0,30,34
39.0,30,35
16.0,30,36
136.0,33,37
39.0,33,38
27.0,33,39
50.0,33,40
14.0,32,41
47.0,33,42
71.0,34,43
26.0,33,44
16.0,33,45
101.0,35,46
40.0,35,47
20.0,34,48
18.0,34,49
52.0,34,50
110.0,36,51
50.0,36,52
57.0,36,53
56.0,37,54
32.0,37,55
28.0,37,56
15.0,36,57
42.0,36,58
28.0,36,59
94.0,37,60
117.0,38,61
72.0,39,62
25.0,39,63
82.0,39,64
104.0,40,65
29.0,40,66
56.0,40,67
75.0,41,68
26.0,41,69
64.0,41,70
96.0,42,71
71.0,42,72
28.0,42,73
30.0,42,74
